step,min,max,mean
0,1.2910375734799434e-42,0.9863332379394181,0.0886226925452758
1,1.7176837447802936e-41,0.978830214072691,0.0886226925452758
2,1.7458478139080586e-40,0.9714934184988092,0.0886226925452758
3,1.4427000353401572e-39,0.9643168867562346,0.0886226925452758
4,1.0043393981198379e-38,0.9572949457910348,0.0886226925452758
5,6.05085619584789e-38,0.9504221961383635,0.0886226925452758
6,3.222157858932138e-37,0.9436934954012042,0.08862269254527581
7,1.542240387937428e-36,0.9371039429175602,0.0886226925452758
8,6.725100723388483e-36,0.9306488655175522,0.0886226925452758
9,2.7013137775050046e-35,0.9243238042810834,0.0886226925452758
10,1.0086424461541737e-34,0.9181245022149813,0.0886226925452758
11,3.5277035271012308e-34,0.9120468927759355,0.0886226925452758
12,1.1631402211390869e-33,0.9060870891722037,0.0886226925452758
13,3.635281353618246e-33,0.9002413743830519,0.08862269254527581
14,1.082074917530207e-32,0.8945061918402917,0.08862269254527581
15,3.080097911020114e-32,0.888878136721144,0.0886226925452758
16,8.414120229735391e-32,0.8833539478060561,0.0886226925452758
17,2.2128454224649168e-31,0.8779304998590703,0.08862269254527581
18,5.618169279457523e-31,0.8726047964919404,0.0886226925452758
19,1.3804140037726392e-30,0.867373963476447,0.0886226925452758
20,3.289652175147935e-30,0.8622352424723168,0.0886226925452758
21,7.618579788000072e-30,0.8571859851408319,0.0886226925452758
22,1.7177271495900057e-29,0.8522236476166514,0.0886226925452758
23,3.776501562256e-29,0.8473457853125815,0.0886226925452758
24,8.108033264641078e-29,0.8425500480340488,0.0886226925452758
25,1.702199545984016e-28,0.8378341753818666,0.0886226925452758
26,3.498675144080606e-28,0.8331959924235637,0.0886226925452758
27,7.04823132009517e-28,0.8286334056150723,0.0886226925452758
28,1.3931125408514072e-27,0.8241443989559694,0.0886226925452758
29,2.7041644589088973e-27,0.8197270303627477,0.0886226925452758
30,5.1594213652692445e-27,0.8153794282457585,0.0886226925452758
31,9.683716157735572e-27,0.8110997882765424,0.0886226925452758
32,1.7893001440302766e-26,0.8068863703332482,0.0886226925452758
33,3.257081157825358e-26,0.8027374956127385,0.0886226925452758
34,5.844692877126983e-26,0.7986515438988118,0.0886226925452758
35,1.0345399668550465e-25,0.794626950976729,0.0886226925452758
36,1.8073112701612594e-25,0.7906622061849355,0.0886226925452758
37,3.1178181858673366e-25,0.7867558500955112,0.0886226925452758
38,5.313962966921386e-25,0.7829064723154747,0.0886226925452758
39,8.952428063805188e-25,0.7791127094016181,0.0886226925452758
40,1.4914557571529446e-24,0.775373242882048,0.0886226925452758
41,2.45815175425442e-24,0.7716867973780782,0.0886226925452758
42,4.0096561534029585e-24,0.7680521388205493,0.0886226925452758
43,6.475414888435908e-24,0.7644680727550466,0.0886226925452758
44,1.0357221307653987e-23,0.7609334427308561,0.0886226925452758
45,1.6412667026335257e-23,0.757447128768841,0.0886226925452758
46,2.5775840700880606e-23,0.7540080459037334,0.0886226925452758
47,4.0130523883329755e-23,0.7506151427966303,0.08862269254527581
48,6.195682337527985e-23,0.7472674004137542,0.0886226925452758
49,9.487978952023414e-23,0.7439638307677889,0.08862269254527581
50,1.441586789725067e-22,0.7407034757183368,0.0886226925452758
51,2.1736886202346845e-22,0.7374854058282588,0.08862269254527581
52,3.253458712631182e-22,0.7343087192728613,0.08862269254527581
53,4.8348389428847095e-22,0.731172540799083,0.08862269254527581
54,7.13510563531217e-22,0.7280760207320073,0.08862269254527581
55,1.045897965904018e-21,0.7250183340261901,0.08862269254527581
56,1.5231185668597742e-21,0.7219986793594448,0.0886226925452758
57,2.2040168885532272e-21,0.7190162782668664,0.0886226925452758
58,3.169646551329397e-21,0.7160703743130094,0.08862269254527581
59,4.531021619724157e-21,0.7131602323002579,0.0886226925452758
60,6.439355835303436e-21,0.7102851375115414,0.08862269254527581
61,9.099518963720454e-21,0.7074443949856535,0.08862269254527581
62,1.2787632933092608e-20,0.7046373288235378,0.08862269254527581
63,1.7873969780572647e-20,0.7018632815239946,0.08862269254527581
64,2.485260822470329e-20,0.6991216133473493,0.0886226925452758
65,3.437966722412781e-20,0.6964117017057109,0.0886226925452758
66,4.7322376410968494e-20,0.6937329405785184,0.08862269254527581
67,6.482178028157361e-20,0.6910847399521542,0.08862269254527581
68,8.837252351712138e-20,0.6884665252824631,0.08862269254527583
69,1.1992394970563052e-19,0.6858777369790834,0.08862269254527581
70,1.620076892148494e-19,0.6833178299105571,0.08862269254527581
71,2.178980418518912e-19,0.6807862729292388,0.08862269254527581
72,2.918128081692321e-19,0.6782825484150772,0.08862269254527581
73,3.8916382634120184e-19,0.6758061518373948,0.0886226925452758
74,5.16868371030375e-19,0.6733565913338323,0.0886226925452758
75,6.837348138154412e-19,0.670933387305675,0.08862269254527581
76,9.009385850107005e-19,0.6685360720288127,0.0886226925452758
77,1.182607574370226e-18,0.666164189279629,0.08862269254527581
78,1.5465397310458607e-18,0.6638172939751483,0.0886226925452758
79,2.0150798472767987e-18,0.6614949518268058,0.0886226925452758
80,2.6161874205942604e-18,0.6591967390072367,0.0886226925452758
81,3.384733180507524e-18,0.6569222418295115,0.0886226925452758
82,4.364068442894287e-18,0.6546710564382743,0.08862269254527581
83,5.60791903519564e-18,0.6524427885122662,0.08862269254527581
84,7.182664246770088e-18,0.6502370529777438,0.08862269254527581
85,9.170071243242472e-18,0.6480534737323238,0.08862269254527581
86,1.1670566797242232e-17,0.6458916833788123,0.08862269254527583
87,1.4807141201332817e-17,0.6437513229685938,0.08862269254527583
88,1.8729994028818085e-17,0.6416320417541798,0.08862269254527583
89,2.3622048197898153e-17,0.6395334969505322,0.08862269254527581
90,2.970547779550483e-17,0.6374553535047998,0.08862269254527581
91,3.724941656892631e-17,0.6353972838741176,0.08862269254527583
92,4.6579038155496436e-17,0.6333589678111413,0.08862269254527581
93,5.808622627316803e-17,0.6313400921569985,0.08862269254527581
94,7.224208353912324e-17,0.6293403506413592,0.08862269254527583
95,8.961156164338938e-17,0.627359443689337,0.08862269254527581
96,1.1087053362652248e-16,0.6253970782349477,0.08862269254527581
97,1.3682567136547453e-16,0.6234529675408653,0.0886226925452758
98,1.684375384550659e-16,0.6215268310242256,0.08862269254527581
99,2.0684736090461168e-16,0.6196183940882396,0.08862269254527581
100,2.5340799589664734e-16,0.6177273879593909,0.0886226925452758
101,3.0971968275020976e-16,0.6158535495299975,0.08862269254527581
102,3.776712306944445e-16,0.6139966212059346,0.08862269254527583
103,4.594873756162997e-16,0.6121563507593155,0.08862269254527581
104,5.57783123153051e-16,0.6103324911859463,0.08862269254527581
105,6.756259889382751e-16,0.6085248005673691,0.08862269254527583
106,8.166071490881761e-16,0.6067330419373222,0.08862269254527581
107,9.849226257709086e-16,0.6049569831524526,0.08862269254527583
108,1.1854657545991203e-15,0.6031963967671193,0.0886226925452758
109,1.423932313316693e-15,0.6014510599121387,0.0886226925452758
110,1.7069398355324684e-15,0.5997207541773236,0.0886226925452758
111,2.042162789830341e-15,0.5980052654976801,0.08862269254527583
112,2.438485474225367e-15,0.5963043840431244,0.08862269254527581
113,2.9061746594325814e-15,0.5946179041115964,0.0886226925452758
114,3.4570742125853e-15,0.5929456240254444,0.0886226925452758
115,4.104824146721026e-15,0.5912873460309638,0.08862269254527581
116,4.86510677140454e-15,0.5896428762009791,0.0886226925452758
117,5.755922867157185e-15,0.5880120243403587,0.0886226925452758
118,6.7979010718041826e-15,0.5863946038943602,0.0886226925452758
119,8.014643951348826e-15,0.5847904318597065,0.0886226925452758
120,9.43311453245839e-15,0.5831993286982976,0.0886226925452758
121,1.1084067399037367e-14,0.5816211182534655,0.0886226925452758
122,1.3002528802614936e-14,0.5800556276686855,0.08862269254527581
123,1.522833060633723e-14,0.578502687308658,0.08862269254527581
124,1.7806703276188075e-14,0.5769621306826808,0.0886226925452758
125,2.07889335516222e-14,0.5754337943702338,0.08862269254527581
126,2.4233092872040415e-14,0.5739175179487003,0.08862269254527581
127,2.8204843106419417e-14,0.5724131439231535,0.08862269254527581
128,3.2778326631876965e-14,0.5709205176581394,0.08862269254527581
129,3.8037148333941845e-14,0.5694394873113886,0.08862269254527583
130,4.4075457657730934e-14,0.567969903769393,0.08862269254527583
131,5.099913942601958e-14,0.5665116205847873,0.08862269254527583
132,5.892712275821312e-14,0.5650644939154734,0.08862269254527583
133,6.799281807435151e-14,0.5636283824654335,0.08862269254527583
134,7.834569285134205e-14,0.5622031474271745,0.08862269254527583
135,9.015299751542631e-14,0.5607886524257532,0.08862269254527581
136,1.0360165360621913e-13,0.5593847634643289,0.08862269254527583
137,1.1890031713424917e-13,0.5579913488711964,0.08862269254527581
138,1.3628163087647813e-13,0.5566082792482517,0.08862269254527581
139,1.5600468021343285e-13,0.5552354274208441,0.08862269254527581
140,1.7835766800795967e-13,0.5538726683889713,0.0886226925452758
141,2.0366082495975606e-13,0.5525198792797766,0.0886226925452758
142,2.3226957284225786e-13,0.5511769393013048,0.0886226925452758
143,2.6457795903960245e-13,0.54984372969748,0.0886226925452758
144,3.0102238185163816e-13,0.5485201337042658,0.0886226925452758
145,3.4208562712462825e-13,0.5472060365069729,0.0886226925452758
146,3.8830123789466146e-13,0.5459013251986772,0.0886226925452758
147,4.4025823990001893e-13,0.5446058887397159,0.08862269254527583
148,4.986062470279727e-13,0.5433196179182278,0.08862269254527581
149,5.640609720107506e-13,0.5420424053117066,0.0886226925452758
150,6.374101689746581e-13,0.5407741452495365,0.08862269254527581
151,7.195200357754884e-13,0.5395147337764813,0.08862269254527581
152,8.11342105422187e-13,0.538264068617097,0.08862269254527581
153,9.13920657298984e-13,0.5370220491410421,0.0886226925452758
154,1.0284006803435128e-12,0.535788576329258,0.08862269254527581
155,1.1560364218243526e-12,0.5345635527409941,0.08862269254527581
156,1.2982005568854173e-12,0.5333468824816527,0.0886226925452758
157,1.4563940155860716e-12,0.5321384711714305,0.08862269254527581
158,1.6322565057640469e-12,0.5309382259147319,0.08862269254527581
159,1.8275777716823737e-12,0.5297460552703339,0.08862269254527581
160,2.0443096300907566e-12,0.5285618692222789,0.0886226925452758
161,2.2845788270350926e-12,0.527385579151476,0.08862269254527581
162,2.550700760485135e-12,0.5262170978079895,0.08862269254527583
163,2.8451941156184437e-12,0.525056339283996,0.0886226925452758
164,3.1707964613975037e-12,0.52390321898739,0.0886226925452758
165,3.530480858904918e-12,0.5227576536160213,0.08862269254527581
166,3.927473533757406e-12,0.5216195611325446,0.08862269254527581
167,4.365272666801528e-12,0.5204888607398654,0.08862269254527581
168,4.8476683592009565e-12,0.519365472857166,0.08862269254527581
169,5.378763829955054e-12,0.5182493190964936,0.08862269254527581
